Wilayah,Rute,,,Rute,Pagi,Siang,Sore,,Nama Jalan,Sepeda Motor,Mobil Pribadi,Angkot,Bus Mini,Pickup/Box,Mini Truk,Bus Besar ,Kendaraan Tak Bermotor
Utara,Kertajaya Indah,,,Kertajaya Indah,06.30 - 09.00,,16.30 - 19.00,,Kertajaya Indah,132410,55230,337,116,712,126,95,282
Selatan,Darmawangsa,,,Darmawangsa,07.00 - 09.00,,17.00 - 19.00,,Kertajaya Indah,150064,43914,476,110,1110,88,100,243
Barat ,Dr. Ir. H Soekarno - Gubeng,,,Dr. Ir. H Soekarno - Gubeng,06.00 - 09.00,,16.00 - 19.00,,Dharmawangsa,81157,26157,534,29,863,109,68,463
Timur,Kenjeran,,,Kenjeran,06.30 - 09.00,,16.30 - 19.00,,Darmawangsa,73289,24347,482,26,779,98,61,418
,,,,,,,,,Dr. Ir. H Soekarno,150621,47409,312,93,1406,178,69,261
,,,,,,,,,Dr. Ir. H Soekarno,150621,47409,312,93,1406,178,69,261
,,,,,,,,,Gubeng Pojok,103688,21707,301,44,508,50,39,151
,,,,,,,,,Gubeng Pojok,93636,19603,272,40,459,45,35,136
